bloomsize: 536870912 (2^29) insert_size 67108864 (2^26)

counting test:
|------------------------------------+---+-----------+-------------+-----------------+---------------+-------------------+------------+----------------|
| hashes                             | k |  ins time | false pos % | false pos count | fill factor % | fill factor count | err rate % | err rate count |
| fnv jenkins murmur64               | 3 | 15.380448 |       3.06% |         2053413 |        31.27% |         167883249 |     16.61% |       33443343 |
| fnv         murmur64 elf           | 3 | 14.855931 |       3.71% |         2492153 |        30.74% |         165009677 |     18.04% |       36316915 |
| fnv         murmur64     bernstein | 3 | 14.493790 |       3.06% |         2050722 |        31.27% |         167879187 |     16.61% |       33447405 |
| fnv                  elf bernstein | 3 | 16.470476 |       3.72% |         2496683 |        30.73% |         165001413 |     18.04% |       36325179 |
|     jenkins          elf bernstein | 3 | 16.946983 |       3.72% |         2496018 |        30.73% |         164993051 |     18.05% |       36333541 |
|     jenkins murmur64 elf           | 3 | 17.999568 |       3.72% |         2494721 |        30.73% |         165004119 |     18.04% |       36322473 |
|     jenkins murmur64     bernstein | 3 | 15.538398 |       3.06% |         2052484 |        31.27% |         167891894 |     16.61% |       33434698 |
|             murmur64 elf bernstein | 3 | 15.722001 |       3.72% |         2493560 |        30.73% |         164996908 |     18.05% |       36329684 |
| fnv jenkins murmur64 elf           | 4 | 20.422790 |       2.73% |         1833384 |        38.87% |         208702405 |     22.25% |       59733051 |
| fnv jenkins murmur64     bernstein | 4 | 18.791200 |       2.39% |         1607146 |        39.35% |         211245146 |     21.31% |       57190310 |
| fnv         murmur64 elf bernstein | 4 | 17.192259 |       2.73% |         1833763 |        38.87% |         208690223 |     22.26% |       59745233 |
| fnv jenkins          elf bernstein | 4 | 21.127895 |       2.73% |         1831064 |        38.87% |         208684948 |     22.26% |       59750508 |
|     jenkins murmur64 elf bernstein | 4 | 20.476886 |       2.73% |         1831740 |        38.87% |         208695472 |     22.25% |       59739984 |
| fnv murmur64 jenkins elf bernstein | 5 | 22.626221 |       2.38% |         1594372 |        46.06% |         247261375 |     26.31% |       88282945 |
|------------------------------------+---+-----------+-------------+-----------------+---------------+-------------------+------------+----------------|

uneven even test:
|------------------------------------+---+----------+-------------+-----------------+---------------+-------------------+------------+----------------|
| hashes                             | k | ins time | false pos % | false pos count | fill factor % | fill factor count | err rate % | err rate count |
|------------------------------------+---+---------:+------------:+----------------:+--------------:+------------------:+-----------:+---------------:|
| fnv                                | 1 | 2.869118 |       1.20% |          805376 |         3.20% |          17163008 |     74.43% |       49945856 |
|     jenkins                        | 1 | 5.876635 |      33.23% |        22300362 |        10.55% |          56613480 |     15.64% |       10495384 |
|             murmur64               | 1 | 3.518624 |      11.75% |         7883468 |        11.75% |          63084506 |      6.00% |        4024358 |
|                      elf           | 1 | 2.235000 |      99.95% |        67074048 |         0.11% |            591232 |     99.12% |       66517632 |
|                          bernstein | 1 | 2.450165 |     100.00% |        67108864 |         0.42% |           2230272 |     96.68% |       64878592 |
| fnv         murmur64               | 2 | 6.707177 |       1.86% |         1251190 |        14.57% |          78228222 |     41.72% |       55989506 |
| fnv jenkins                        | 2 | 7.526819 |       4.08% |         2738404 |        13.40% |          71964777 |     46.38% |       62252951 |
| fnv                  elf           | 2 | 5.173886 |       1.31% |          877641 |         3.30% |          17735383 |     86.79% |      116482345 |
| fnv                      bernstein | 2 | 4.909349 |       1.61% |         1080750 |         3.60% |          19321997 |     85.60% |      114895731 |
|     jenkins          elf           | 2 | 7.469373 |      33.29% |        22341216 |        10.64% |          57142375 |     57.43% |       77075353 |
|     jenkins              bernstein | 2 | 7.976141 |      33.51% |        22486434 |        10.92% |          58608172 |     56.33% |       75609556 |
|                      elf bernstein | 2 | 4.743312 |      99.95% |        67074189 |         0.53% |           2819030 |     97.90% |      131398698 |
|     jenkins murmur64               | 2 | 8.295110 |       8.65% |         5803621 |        21.06% |         113045408 |     15.77% |       21172320 |
|             murmur64 elf           | 2 | 6.891612 |      11.84% |         7944888 |        11.85% |          63606475 |     52.61% |       70611253 |
|             murmur64     bernstein | 2 | 6.863230 |      12.11% |         8129241 |        12.12% |          65053050 |     51.53% |       69164678 |
| fnv jenkins          elf           | 3 |10.848707 |       4.12% |         2766300 |        13.50% |          72476804 |     64.00% |      128849788 |
| fnv jenkins              bernstein | 3 |11.302529 |       4.24% |         2847385 |        13.76% |          73895688 |     63.30% |      127430904 |
| fnv jenkins murmur64               | 3 |13.231374 |       2.22% |         1492620 |        23.58% |         126590737 |     37.12% |       74735855 |
| fnv         murmur64 elf           | 3 | 8.263022 |       1.89% |         1268064 |        14.67% |          78733499 |     60.89% |      122593093 |
| fnv         murmur64     bernstein | 3 | 8.712490 |       1.96% |         1318350 |        14.93% |          80133748 |     60.20% |      121192844 |
| fnv                  elf bernstein | 3 | 7.321699 |       1.72% |         1152585 |         3.71% |          19891986 |     90.12% |      181434606 |
|     jenkins          elf bernstein | 3 |10.252190 |      33.57% |        22527041 |        11.01% |          59134840 |     70.63% |      142191752 |
|     jenkins murmur64 elf           | 3 |12.358354 |       8.69% |         5834901 |        21.14% |         113512346 |     43.62% |       87814246 |
|     jenkins murmur64     bernstein | 3 |12.168784 |       8.83% |         5928863 |        21.38% |         114806254 |     42.98% |       86520338 |
|             murmur64 elf bernstein | 3 | 8.616794 |      12.20% |         8190257 |        12.21% |          65572840 |     67.43% |      135753752 |
| fnv jenkins murmur64 elf           | 4 |14.409840 |       2.24% |         1505466 |        23.66% |         127042731 |     52.67% |      141392725 |
| fnv jenkins murmur64     bernstein | 4 |14.920208 |       2.30% |         1543353 |        23.90% |         128295236 |     52.21% |      140140220 |
| fnv         murmur64 elf bernstein | 4 |11.624168 |       1.99% |         1335541 |        15.02% |          80636921 |     69.96% |      187798535 |
| fnv jenkins          elf bernstein | 4 |12.365724 |       4.28% |         2875463 |        13.86% |          74405569 |     72.28% |      194029887 |
|     jenkins murmur64 elf bernstein | 4 |13.864493 |       8.88% |         5960223 |        21.47% |         115271230 |     57.06% |      153164226 |
| fnv murmur64 jenkins elf bernstein | 5 |17.727290 |       2.32% |         1556393 |        23.98% |         128745337 |     61.63% |      206798983 |
|------------------------------------+---+----------+-------------+-----------------+---------------+-------------------+------------+----------------|
